City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,São Filipe,CV,14.8961,-24.4956,80.71,77,80,4.9,broken clouds
258,Magburaka,SL,8.7167,-11.95,74.52,95,98,1.19,overcast clouds
259,Tambopata,PE,-12.7333,-69.1833,94.89,46,20,6.91,few clouds
260,Shitanjing,CN,39.2342,106.3439,51.58,39,87,3.06,light rain
261,Oriximiná,BR,-1.7656,-55.8661,83.64,64,62,5.26,broken clouds
262,Dwārka,IN,22.2394,68.9678,81.84,83,13,9.95,few clouds
263,Saint-Leu,RE,-21.15,55.2833,72.46,74,1,3.18,clear sky
264,Lethem,GY,3.3803,-59.7968,82.15,71,98,7.11,overcast clouds
265,Nador,MA,35.174,-2.9287,73.47,68,0,16.11,clear sky
266,Manching,DE,48.7166,11.4939,62.83,76,98,11.5,overcast clouds
267,Hamilton,US,39.1834,-84.5333,72.73,85,1,1.01,clear sky
268,Snyder,US,32.7179,-100.9176,84.34,28,3,4.14,clear sky
269,Malé,MV,4.1748,73.5089,82.35,83,40,17.27,scattered clouds
270,Pasni,PK,25.2631,63.471,80.92,86,77,13.06,broken clouds
271,Teya,RU,60.3778,92.6267,32.61,98,100,2.55,light snow
272,Mount Darwin,ZW,-16.7725,31.5838,72.9,54,86,7.14,overcast clouds
273,Portland,US,45.5234,-122.6762,72.63,64,20,1.01,few clouds
274,Kashan,IR,33.9831,51.4364,72.16,33,0,5.1,clear sky
275,Mareeba,AU,-17.0,145.4333,81.32,85,11,2.06,few clouds
276,Chokwé,MZ,-24.5333,32.9833,65.77,83,98,11.56,overcast clouds
277,Rio Grande,BR,-32.035,-52.0986,62.71,75,100,16.89,overcast clouds
278,Arman',RU,59.7,150.1667,38.01,59,100,15.99,overcast clouds
279,Adrar,MR,20.5022,-10.0711,93.31,11,8,4.32,clear sky
280,Tiksi,RU,71.6872,128.8694,24.3,88,98,14.43,overcast clouds
281,Baraki Barak,AF,33.9675,68.9486,56.1,28,0,1.1,clear sky
282,Solwezi,ZM,-12.1688,26.3894,63.99,88,100,3.44,light rain
283,Caculé,BR,-14.5033,-42.2222,79.93,24,4,3.91,clear sky
284,Egvekinot,RU,66.3167,-179.1667,27.45,98,100,4.0,snow
285,Eilat,IL,29.5581,34.9482,78.64,53,0,16.11,clear sky
286,Makakilo City,US,21.3469,-158.0858,82.72,66,90,10.36,overcast clouds
287,Birin,NP,26.8865,88.0718,59.16,91,100,5.41,overcast clouds
288,Pochutla,MX,15.7432,-96.4661,91.22,68,35,5.28,scattered clouds
289,Châlons-en-Champagne,FR,48.9539,4.3672,54.18,93,100,5.88,overcast clouds
290,Uyuni,BO,-20.4597,-66.825,57.85,5,0,13.89,clear sky
291,Wanaka,NZ,-44.7,169.15,52.11,84,100,3.91,overcast clouds
292,Juneau,US,58.3019,-134.4197,44.22,93,90,6.91,light rain
293,Saint-François,FR,46.4154,3.9054,53.67,100,75,3.44,broken clouds
294,Victor Harbor,AU,-35.5667,138.6167,54.81,77,46,1.01,scattered clouds
295,Aklavik,CA,68.2191,-135.0107,34.63,96,100,16.67,overcast clouds
296,San Patricio,US,28.017,-97.5169,92.12,56,89,4.23,overcast clouds
297,Netanya,IL,32.3329,34.8599,75.22,69,3,5.84,clear sky
298,Provideniya,RU,64.3833,-173.3,32.11,69,75,6.71,broken clouds
299,Cabo San Lucas,MX,22.8909,-109.9124,88.9,65,20,9.22,few clouds
300,San Quintín,MX,30.4833,-115.95,78.58,46,100,11.25,overcast clouds
301,Hay River,CA,60.8156,-115.7999,53.58,32,75,12.66,broken clouds
302,Dikson,RU,73.5069,80.5464,34.86,98,100,23.98,light rain
303,Novopokrovka,UA,49.8425,36.5477,46.29,68,1,6.69,clear sky
304,Ribas do Rio Pardo,BR,-20.4431,-53.7592,90.16,34,63,8.86,broken clouds
305,Poum,NC,-20.2333,164.0167,75.29,84,0,8.88,clear sky
306,Berdigestyakh,RU,62.0989,126.6992,25.25,83,16,4.83,few clouds
307,Huarmey,PE,-10.0681,-78.1522,66.06,77,72,12.21,broken clouds
308,Miraflores,MX,19.2167,-98.8083,72.36,65,99,1.39,overcast clouds
309,Champerico,GT,14.3,-91.9167,88.34,72,24,7.36,few clouds
310,Awjilah,LY,29.1081,21.2869,73.2,44,0,5.97,clear sky
311,Lavrentiya,RU,65.5833,-171.0,27.32,67,14,1.63,few clouds
312,Gilgit,PK,35.9221,74.3087,68.36,57,11,4.43,few clouds
313,Bestöbe,KZ,52.4994,73.0975,34.21,98,100,14.85,light rain
314,Payo,ID,-3.7508,103.6372,72.46,95,100,2.01,light rain
315,Jurbarkas,LT,55.0778,22.7664,50.14,74,56,12.21,broken clouds
316,Kindersley,CA,51.4668,-109.1682,74.98,17,20,16.11,few clouds
317,Ambovombe,MG,-25.1667,46.0833,70.88,83,1,5.06,clear sky
318,Paragominas,BR,-2.9667,-47.4833,80.4,61,66,3.65,broken clouds
319,Aswān,EG,24.0934,32.907,79.9,31,0,11.5,clear sky
320,Sovetskiy,RU,61.3614,63.5842,28.06,79,13,4.5,few clouds
321,Antibes,FR,43.5624,7.1278,70.11,88,75,8.05,broken clouds
322,West Lafayette,US,40.4259,-86.9081,72.41,92,90,5.75,overcast clouds
323,Saint-Joseph,RE,-21.3667,55.6167,71.98,81,22,10.31,light rain
324,Souillac,MU,-20.5167,57.5167,72.36,83,40,11.5,scattered clouds
325,Lagoa,PT,39.05,-27.9833,70.66,93,29,11.68,scattered clouds
326,Kindu,CD,-2.95,25.95,67.39,99,86,1.36,overcast clouds
327,Bealanana,MG,-14.55,48.7333,58.24,95,47,2.64,scattered clouds
328,Lepe,ES,37.2548,-7.2043,64.11,49,70,17.2,broken clouds
329,Grenfell,AU,-33.9,148.1667,52.3,90,52,12.33,broken clouds
330,Cangzhou,CN,38.3167,116.8667,64.49,80,100,18.52,light rain
331,Les Cayes,HT,18.2,-73.75,79.79,79,100,8.12,overcast clouds
332,Singapore,SG,1.2897,103.8501,78.75,94,75,1.14,broken clouds
333,Uinskoye,RU,56.8817,56.5813,30.67,77,84,3.94,broken clouds
334,Burnie,AU,-41.0667,145.9167,55.92,95,100,14.7,light rain
335,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,58,75,13.42,broken clouds
336,Aberdeen,GB,57.1437,-2.0981,51.82,78,84,6.91,broken clouds
337,Santa Marta,CO,11.2408,-74.199,84.85,77,88,10.49,overcast clouds
338,Pinega,RU,64.7001,43.3936,41.52,96,86,5.17,overcast clouds
339,Mercedes,AR,-34.6515,-59.4307,59.85,61,18,4.72,few clouds
340,Kloulklubed,PW,7.0419,134.2556,79.3,70,74,8.23,broken clouds
341,Lagos,NG,6.5833,3.75,76.12,93,68,3.27,moderate rain
342,Annonay,FR,45.2397,4.6708,53.82,97,100,6.87,overcast clouds
343,Hede,CN,33.7681,120.2517,69.58,89,87,9.31,light rain
344,Jarinu,BR,-23.1014,-46.7283,68.25,90,88,8.48,moderate rain
345,Gazli,UZ,40.1333,63.45,51.71,39,0,9.66,clear sky
346,Arraial do Cabo,BR,-22.9661,-42.0278,76.96,83,75,12.66,moderate rain
347,Nagato,JP,34.3833,131.2,73.2,77,2,18.3,clear sky
